country,CNT,empathy_score
Australia,,0.13
Austria,,0.15
Belgium,,0.1
Canada,,0.12
Chile,,0.1
Estonia,,0.14
Finland,,0.17
France,,0.1
Germany,,0.15
Greece,,0.12
Hungary,,0.14
Iceland,,0.17
Ireland,,0.1
Italy,,0.1
Korea,,0.21
Latvia,,0.09
Lithuania,,0.16
Netherlands,,0.08
New Zealand,,0.12
Poland,,0.09
Portugal,,0.16
Slovak Republic,,0.11
Spain,,0.16
Switzerland,,0.12
Türkiye,,0.11
United Kingdom,,0.16
OECD average,,0.13
Argentina,,0.17
Brunei Darussalam,,0.15
Bulgaria,,0.17
Croatia,,0.19
Cyprus,,0.1
Georgia,,0.13
Hong Kong (China),,0.14
Macao (China),,0.19
Malta,,0.13
Qatar,,0.13
Romania,,0.12
Saudi Arabia,,0.22
Serbia,,0.1
Chinese Taipei,,0.2
United Arab Emirates,,0.19
