"","CNTSTUID","CNT.x","ST001D01T","ST004D01T","STRATUM","ave_cr_social","ave_cr","ave_emp"
"1",41000001,"KOR",10,2,"KOR02",NA,NA,2.8
"2",41000002,"KOR",10,1,"KOR02",2,1.64285714285714,2.8
"3",41000003,"KOR",10,1,"KOR03",NA,NA,4
"4",41000004,"KOR",10,1,"KOR02",NA,1.61538461538462,3
"5",41000005,"KOR",10,1,"KOR02",1.66666666666667,1.5,3.6
"6",41000006,"KOR",10,2,"KOR02",1.75,1.55555555555556,3.2
"7",41000007,"KOR",10,2,"KOR02",NA,NA,2.6
"8",41000008,"KOR",10,1,"KOR02",NA,NA,3
"9",41000009,"KOR",10,1,"KOR02",NA,NA,4
"10",41000010,"KOR",10,1,"KOR02",NA,NA,4.2
"11",41000011,"KOR",10,1,"KOR02",2,1.55555555555556,2.6
"12",41000012,"KOR",10,2,"KOR04",0.666666666666667,1.11111111111111,4
"13",41000013,"KOR",10,2,"KOR02",NA,NA,3.8
"14",41000014,"KOR",10,2,"KOR02",NA,NA,2.8
"15",41000015,"KOR",10,1,"KOR02",1.2,1.21428571428571,3.2
"16",41000016,"KOR",10,2,"KOR02",NA,NA,3.4
"17",41000017,"KOR",10,1,"KOR02",NA,NA,3.6
"18",41000018,"KOR",10,2,"KOR02",NA,NA,4
"19",41000020,"KOR",10,2,"KOR02",NA,NA,2.8
"20",41000021,"KOR",10,2,"KOR02",NA,NA,3.2
"21",41000022,"KOR",10,2,"KOR02",2,0.923076923076923,4
"22",41000023,"KOR",10,1,"KOR02",NA,NA,3
"23",41000024,"KOR",10,2,"KOR02",NA,NA,3.2
"24",41000025,"KOR",10,2,"KOR03",NA,NA,4.4
"25",41000026,"KOR",10,1,"KOR02",NA,NA,3.2
"26",41000027,"KOR",10,1,"KOR02",NA,NA,2.6
"27",41000028,"KOR",10,2,"KOR02",NA,NA,4.2
"28",41000029,"KOR",10,1,"KOR02",0,0.857142857142857,3
"29",41000030,"KOR",10,1,"KOR02",NA,NA,2.6
"30",41000031,"KOR",10,1,"KOR02",1.33333333333333,1.33333333333333,3.8
"31",41000032,"KOR",10,2,"KOR02",2,1.53333333333333,2.8
"32",41000033,"KOR",10,1,"KOR02",1,1.15384615384615,3.2
"33",41000034,"KOR",10,2,"KOR02",1.66666666666667,1.33333333333333,3.2
"34",41000035,"KOR",10,2,"KOR02",1,1.2,3.4
"35",41000036,"KOR",10,1,"KOR02",2,1.66666666666667,1.8
"36",41000037,"KOR",10,1,"KOR02",0.5,1.4,3.4
"37",41000039,"KOR",10,2,"KOR02",NA,NA,2.8
"38",41000040,"KOR",10,2,"KOR02",NA,NA,3.6
"39",41000041,"KOR",10,1,"KOR03",NA,NA,2.6
"40",41000042,"KOR",10,1,"KOR02",0.5,1,2.8
"41",41000043,"KOR",10,2,"KOR02",NA,NA,3
"42",41000044,"KOR",10,2,"KOR03",NA,NA,3.4
"43",41000045,"KOR",10,2,"KOR03",NA,NA,3
"44",41000046,"KOR",10,2,"KOR02",NA,NA,3.6
"45",41000047,"KOR",9,1,"KOR01",NA,NA,2.4
"46",41000048,"KOR",10,2,"KOR03",NA,NA,3
"47",41000049,"KOR",10,1,"KOR02",1.75,1.55555555555556,3.6
"48",41000050,"KOR",10,1,"KOR02",NA,NA,3
"49",41000051,"KOR",10,1,"KOR03",NA,NA,1.8
"50",41000052,"KOR",10,2,"KOR02",NA,NA,NA
"51",41000053,"KOR",10,2,"KOR03",NA,NA,3.2
"52",41000054,"KOR",10,2,"KOR02",1.66666666666667,1.53846153846154,3.8
"53",41000055,"KOR",10,2,"KOR03",1,1.22222222222222,3.2
"54",41000056,"KOR",10,2,"KOR02",NA,NA,3.4
"55",41000057,"KOR",10,2,"KOR02",NA,NA,3
"56",41000058,"KOR",10,1,"KOR02",NA,NA,2.8
"57",41000059,"KOR",10,1,"KOR02",NA,NA,3.2
"58",41000060,"KOR",10,1,"KOR02",NA,NA,3.2
"59",41000061,"KOR",10,2,"KOR02",NA,NA,2.6
"60",41000062,"KOR",10,2,"KOR02",NA,NA,3.6
"61",41000063,"KOR",10,1,"KOR03",NA,NA,3
"62",41000064,"KOR",10,2,"KOR02",NA,0.6,NA
"63",41000065,"KOR",9,2,"KOR01",1,1.11111111111111,3.2
"64",41000066,"KOR",10,1,"KOR02",2,1.4,3.6
"65",41000067,"KOR",10,2,"KOR02",NA,NA,3.2
"66",41000069,"KOR",10,1,"KOR02",1.75,1.77777777777778,3.4
"67",41000070,"KOR",10,2,"KOR02",NA,NA,2.8
"68",41000071,"KOR",10,1,"KOR02",NA,NA,3
"69",41000072,"KOR",10,2,"KOR02",NA,NA,3.4
"70",41000073,"KOR",10,1,"KOR02",1,0.8,3.2
"71",41000074,"KOR",10,1,"KOR02",NA,NA,2.6
"72",41000075,"KOR",10,2,"KOR03",NA,NA,4
"73",41000076,"KOR",10,1,"KOR02",NA,NA,3.8
"74",41000077,"KOR",10,1,"KOR02",1,1.42857142857143,3.4
"75",41000078,"KOR",10,1,"KOR02",NA,NA,3
"76",41000079,"KOR",10,2,"KOR03",NA,NA,3.2
"77",41000080,"KOR",10,1,"KOR03",NA,NA,3.4
"78",41000081,"KOR",10,2,"KOR02",0.5,1.33333333333333,3.4
"79",41000082,"KOR",10,1,"KOR03",0.666666666666667,1.11111111111111,3.2
"80",41000083,"KOR",10,1,"KOR02",1.33333333333333,1.6,3.2
"81",41000084,"KOR",10,2,"KOR02",NA,NA,2.4
"82",41000085,"KOR",10,2,"KOR02",NA,NA,3
"83",41000086,"KOR",10,2,"KOR02",NA,NA,3.4
"84",41000087,"KOR",10,1,"KOR02",NA,NA,3.8
"85",41000088,"KOR",10,2,"KOR03",NA,NA,2.2
"86",41000089,"KOR",10,1,"KOR02",2,1.35714285714286,3.8
"87",41000091,"KOR",10,2,"KOR02",0.6,1.07142857142857,2.6
"88",41000092,"KOR",10,1,"KOR02",NA,NA,2.8
"89",41000093,"KOR",10,1,"KOR02",1.4,1.35714285714286,3
"90",41000094,"KOR",10,2,"KOR02",1.66666666666667,1.33333333333333,4.2
"91",41000095,"KOR",9,2,"KOR01",NA,NA,2.8
"92",41000096,"KOR",10,2,"KOR02",NA,NA,3.2
"93",41000097,"KOR",10,1,"KOR02",NA,NA,3.8
"94",41000098,"KOR",10,1,"KOR02",NA,NA,3
"95",41000099,"KOR",10,1,"KOR02",2,1.64285714285714,3.2
